Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Notes
8.0,68,Yes,5.0,1,58.0,excellent
7.0,70,Yes,4.0,3,60.0,review
7.0,83,Yes,9.0,5,77.0,excellent
3.0,82,Yes,9.0,7,69.0,review
4.0,75,Yes,6.0,9,60.0,excellent
9.0,58,No,7.0,5,52.0,review
6.0,45,No,4.0,5,36.0,excellent
5.0,64,No,6.0,5,49.0,excellent
3.0,70,Yes,8.0,3,50.0,excellent
9.0,48,Yes,6.0,2,48.0,excellent
5.0,59,No,8.0,0,43.0,excellent
5.0,49,Yes,8.0,1,34.0,excellent
4.0,76,Yes,9.0,1,57.0,excellent
4.0,66,Yes,6.0,9,50.0,review
1.0,52,Yes,9.0,6,28.0,excellent
7.0,80,Yes,9.0,5,72.0,excellent
9.0,41,Yes,5.0,7,38.0,review
3.0,89,Yes,5.0,8,68.0,excellent
2.0,60,Yes,9.0,4,41.0,excellent
3.0,72,Yes,9.0,2,53.0,excellent
1.0,63,Yes,8.0,3,36.0,excellent
6.0,92,Yes,9.0,7,80.0,review
7.0,83,Yes,4.0,2,73.0,review
2.0,81,No,,1,59.0,review
8.0,73,Yes,4.0,6,67.0,review
6.0,99,Yes,5.0,3,91.0,excellent
4.0,48,No,4.0,7,34.0,review
5.0,41,No,7.0,0,23.0,excellent
8.0,94,No,7.0,7,86.0,excellent
3.0,95,Yes,5.0,4,73.0,excellent
3.0,69,Yes,4.0,1,49.0,review
4.0,61,No,6.0,0,43.0,review
,85,No,5.0,5,61.0,review
9.0,50,No,7.0,8,45.0,review
8.0,94,Yes,5.0,8,85.0,excellent
8.0,82,Yes,4.0,8,75.0,excellent
6.0,56,No,4.0,3,44.0,review
7.0,75,Yes,4.0,5,66.0,excellent
,52,Yes,8.0,9,45.0,review
9.0,46,No,4.0,5,40.0,excellent
3.0,55,No,9.0,4,38.0,review
3.0,72,No,7.0,1,50.0,excellent
3.0,84,Yes,7.0,6,67.0,review
3.0,40,Yes,8.0,0,21.0,review
9.0,50,Yes,7.0,5,51.0,review
4.0,45,Yes,7.0,4,25.0,review
7.0,59,Yes,,4,53.0,excellent
9.0,74,No,4.0,7,71.0,review
7.0,83,Yes,,8,77.0,excellent
9.0,76,Yes,,6,75.0,excellent
,80,No,5.0,9,60.0,excellent
4.0,65,No,9.0,7,49.0,excellent
8.0,97,No,5.0,1,87.0,review
6.0,51,No,9.0,1,40.0,excellent
5.0,69,Yes,7.0,7,56.0,excellent
,67,Yes,6.0,5,49.0,excellent
8.0,66,No,4.0,7,59.0,excellent
1.0,81,Yes,6.0,8,59.0,excellent
9.0,58,No,7.0,8,54.0,review
1.0,44,Yes,8.0,5,17.0,excellent
8.0,97,Yes,5.0,7,90.0,excellent
4.0,44,Yes,9.0,1,23.0,review
9.0,80,No,9.0,7,82.0,excellent
5.0,66,No,7.0,2,49.0,review
3.0,67,Yes,9.0,0,50.0,review
9.0,65,Yes,7.0,6,60.0,excellent
,66,No,6.0,0,60.0,excellent
4.0,91,No,8.0,0,74.0,excellent
,88,Yes,5.0,0,71.0,excellent
8.0,81,Yes,9.0,3,77.0,review
2.0,60,No,8.0,3,34.0,excellent
,40,Yes,8.0,9,39.0,review
6.0,93,No,8.0,5,85.0,review
9.0,67,No,4.0,9,64.0,review
8.0,87,Yes,8.0,2,87.0,excellent
7.0,97,Yes,7.0,9,91.0,excellent
,97,Yes,4.0,5,73.0,excellent
3.0,54,No,4.0,6,34.0,excellent
2.0,94,No,8.0,0,70.0,review
5.0,56,No,9.0,5,42.0,excellent
,65,Yes,9.0,9,55.0,review
5.0,59,Yes,9.0,0,45.0,review
4.0,64,No,9.0,6,49.0,excellent
5.0,52,No,7.0,9,37.0,excellent
,72,Yes,9.0,4,55.0,excellent
,64,No,5.0,9,38.0,excellent
5.0,47,Yes,8.0,3,35.0,excellent
9.0,44,Yes,4.0,0,41.0,excellent
9.0,45,No,5.0,8,43.0,review
4.0,62,No,9.0,6,46.0,review
3.0,91,No,5.0,1,69.0,review
1.0,69,No,4.0,3,37.0,review
2.0,53,No,9.0,3,31.0,review
8.0,93,Yes,5.0,7,90.0,excellent
1.0,62,No,7.0,1,33.0,excellent
8.0,50,Yes,7.0,4,44.0,excellent
7.0,70,No,8.0,9,62.0,review
8.0,45,No,8.0,7,41.0,review
6.0,50,No,,5,38.0,review
9.0,52,No,4.0,3,45.0,excellent
3.0,51,No,7.0,4,34.0,review
4.0,93,No,6.0,1,72.0,excellent
6.0,41,Yes,8.0,4,29.0,excellent
8.0,92,No,7.0,2,83.0,excellent
5.0,74,No,9.0,2,61.0,review
3.0,94,No,5.0,6,75.0,excellent
6.0,75,No,7.0,2,63.0,excellent
4.0,56,Yes,7.0,3,36.0,excellent
,67,Yes,5.0,6,62.0,review
3.0,67,Yes,8.0,2,49.0,review
4.0,61,Yes,8.0,9,46.0,review
7.0,77,Yes,6.0,9,69.0,excellent
7.0,46,Yes,6.0,1,35.0,review
4.0,54,No,8.0,9,38.0,excellent
6.0,71,No,8.0,6,62.0,review
3.0,50,Yes,8.0,4,30.0,review
6.0,63,No,8.0,0,52.0,excellent
2.0,42,No,,9,16.0,review
8.0,69,No,6.0,7,66.0,excellent
2.0,45,No,5.0,2,20.0,excellent
7.0,97,No,4.0,6,86.0,excellent
9.0,41,Yes,5.0,5,38.0,excellent
1.0,53,Yes,9.0,9,30.0,excellent
,80,Yes,4.0,5,71.0,excellent
7.0,57,Yes,7.0,7,49.0,review
6.0,90,Yes,9.0,3,79.0,excellent
,83,Yes,6.0,3,69.0,excellent
6.0,70,No,4.0,2,56.0,excellent
,52,Yes,8.0,0,47.0,excellent
2.0,65,No,9.0,9,41.0,excellent
1.0,83,No,7.0,2,58.0,excellent
,51,Yes,4.0,0,38.0,review
8.0,57,Yes,8.0,5,52.0,excellent
,48,Yes,,7,25.0,excellent
1.0,88,No,7.0,2,62.0,excellent
9.0,60,Yes,9.0,3,60.0,review
1.0,87,Yes,4.0,4,63.0,excellent
3.0,88,Yes,8.0,6,72.0,review
8.0,92,No,6.0,5,84.0,excellent
3.0,95,Yes,7.0,1,74.0,review
4.0,79,Yes,4.0,6,61.0,excellent
8.0,82,No,8.0,7,77.0,review
1.0,63,No,6.0,0,36.0,review
6.0,73,No,9.0,5,65.0,excellent
1.0,47,Yes,8.0,8,23.0,review
1.0,83,Yes,6.0,6,60.0,review
8.0,92,No,4.0,4,83.0,review
4.0,72,Yes,8.0,9,56.0,excellent
,62,No,8.0,9,37.0,excellent
7.0,52,No,5.0,8,43.0,review
5.0,93,No,7.0,1,76.0,excellent
5.0,92,No,8.0,6,83.0,review
1.0,88,No,6.0,8,63.0,excellent
6.0,53,Yes,,1,39.0,excellent
,53,Yes,4.0,9,48.0,excellent
9.0,55,Yes,7.0,5,53.0,excellent
8.0,88,Yes,5.0,8,84.0,review
5.0,77,No,4.0,2,63.0,review
1.0,97,Yes,8.0,7,73.0,excellent
9.0,99,No,9.0,4,99.0,review
1.0,78,No,4.0,6,52.0,review
8.0,65,Yes,4.0,2,58.0,review
5.0,65,Yes,5.0,7,50.0,review
3.0,40,No,6.0,1,18.0,excellent
7.0,71,Yes,4.0,7,62.0,review
7.0,96,Yes,6.0,1,87.0,review
,54,Yes,7.0,6,53.0,excellent
7.0,91,Yes,9.0,1,87.0,review
3.0,60,No,5.0,6,37.0,excellent
1.0,57,No,8.0,0,31.0,review
8.0,69,Yes,4.0,5,63.0,excellent
3.0,99,No,9.0,9,81.0,review
8.0,97,No,9.0,6,95.0,review
8.0,52,Yes,6.0,3,45.0,review
5.0,63,Yes,4.0,0,48.0,excellent
,69,No,9.0,5,47.0,excellent
7.0,41,No,5.0,3,31.0,excellent
5.0,58,No,8.0,2,43.0,review
8.0,86,Yes,7.0,3,82.0,review
9.0,83,No,,5,80.0,review
7.0,86,No,6.0,4,76.0,review
7.0,64,Yes,9.0,1,57.0,review
1.0,89,No,7.0,1,64.0,excellent
4.0,53,Yes,6.0,2,35.0,excellent
2.0,45,Yes,8.0,5,24.0,excellent
2.0,51,No,4.0,0,30.0,excellent
2.0,59,Yes,5.0,6,38.0,excellent
4.0,62,Yes,8.0,7,45.0,review
1.0,69,No,8.0,6,44.0,excellent
4.0,69,Yes,7.0,2,53.0,excellent
2.0,77,No,7.0,5,53.0,review
5.0,97,Yes,5.0,3,84.0,review
3.0,69,Yes,4.0,4,47.0,excellent
8.0,80,No,8.0,2,76.0,excellent
4.0,69,No,9.0,4,57.0,review
1.0,96,No,7.0,5,71.0,excellent
1.0,97,Yes,8.0,7,74.0,review
3.0,75,No,4.0,5,54.0,review
9.0,88,Yes,6.0,8,84.0,review
,73,No,4.0,9,62.0,review
2.0,55,Yes,8.0,9,35.0,excellent
9.0,63,No,8.0,9,62.0,excellent
2.0,53,Yes,5.0,9,30.0,excellent
3.0,65,No,8.0,3,47.0,review
,47,Yes,7.0,1,25.0,excellent
3.0,53,Yes,9.0,8,40.0,review
6.0,70,Yes,5.0,2,56.0,review
,41,Yes,8.0,6,38.0,excellent
9.0,87,No,4.0,3,86.0,review
7.0,43,Yes,8.0,0,38.0,review
3.0,40,No,4.0,7,17.0,review
4.0,94,Yes,4.0,3,75.0,review
6.0,59,No,8.0,5,48.0,excellent
5.0,98,Yes,4.0,6,87.0,excellent
,53,Yes,9.0,7,32.0,excellent
6.0,79,No,6.0,9,68.0,excellent
3.0,64,No,5.0,1,42.0,excellent
8.0,99,Yes,8.0,8,96.0,excellent
2.0,64,No,6.0,9,42.0,review
1.0,42,No,4.0,2,18.0,excellent
9.0,44,No,4.0,0,41.0,review
3.0,77,Yes,5.0,1,54.0,excellent
1.0,93,No,6.0,7,67.0,review
7.0,65,Yes,6.0,9,57.0,excellent
5.0,79,No,8.0,5,65.0,excellent
,77,No,4.0,0,62.0,excellent
1.0,77,Yes,7.0,8,56.0,excellent
9.0,43,No,8.0,6,39.0,review
7.0,46,No,8.0,9,38.0,excellent
8.0,69,No,8.0,2,65.0,review
,69,No,5.0,6,68.0,review
6.0,95,No,5.0,5,82.0,review
5.0,58,No,8.0,2,44.0,review
6.0,78,No,9.0,7,67.0,excellent
2.0,74,Yes,7.0,0,53.0,excellent
4.0,79,Yes,6.0,4,61.0,excellent
,72,Yes,6.0,7,53.0,review
7.0,72,Yes,4.0,2,61.0,review
9.0,53,Yes,6.0,9,49.0,review
5.0,77,No,6.0,5,61.0,review
6.0,49,Yes,7.0,9,38.0,review
,96,Yes,6.0,1,76.0,review
3.0,67,No,7.0,8,47.0,excellent
3.0,53,Yes,5.0,1,32.0,excellent
9.0,75,No,7.0,4,71.0,excellent
7.0,77,No,5.0,2,69.0,review
8.0,55,Yes,7.0,9,53.0,excellent
9.0,99,Yes,8.0,8,100.0,excellent
,60,No,9.0,8,49.0,review
4.0,67,No,5.0,6,48.0,review
1.0,72,Yes,5.0,9,45.0,review
8.0,45,No,6.0,4,40.0,review
7.0,80,Yes,5.0,8,71.0,review
2.0,54,Yes,7.0,6,34.0,review
,83,Yes,8.0,1,76.0,review
5.0,42,Yes,8.0,9,29.0,review
7.0,82,No,6.0,0,71.0,excellent
4.0,86,No,7.0,9,69.0,review
5.0,74,Yes,7.0,9,58.0,excellent
8.0,53,Yes,4.0,3,43.0,review
1.0,41,No,5.0,9,17.0,review
,68,No,6.0,7,41.0,excellent
4.0,43,No,8.0,5,27.0,excellent
3.0,65,No,9.0,1,45.0,review
2.0,90,No,4.0,4,65.0,excellent
3.0,51,Yes,7.0,8,31.0,excellent
1.0,41,Yes,5.0,5,14.0,review
1.0,56,Yes,8.0,5,33.0,review
6.0,74,Yes,4.0,6,60.0,excellent
5.0,49,No,7.0,4,34.0,review
8.0,87,No,8.0,2,82.0,review
2.0,61,Yes,8.0,2,40.0,review
4.0,80,Yes,,4,66.0,excellent
8.0,82,No,7.0,3,76.0,excellent
6.0,60,Yes,6.0,4,46.0,excellent
1.0,54,Yes,8.0,8,31.0,excellent
4.0,74,No,7.0,4,57.0,excellent
1.0,87,No,9.0,3,65.0,excellent
2.0,60,No,9.0,3,38.0,excellent
5.0,60,Yes,4.0,0,46.0,excellent
8.0,60,No,5.0,9,53.0,review
,99,No,9.0,3,97.0,excellent
3.0,83,Yes,6.0,3,63.0,excellent
,71,No,7.0,8,55.0,excellent
6.0,94,Yes,5.0,3,79.0,excellent
3.0,44,Yes,6.0,6,26.0,excellent
2.0,78,Yes,8.0,0,55.0,excellent
6.0,48,Yes,5.0,6,37.0,excellent
5.0,92,No,9.0,1,78.0,review
5.0,57,Yes,6.0,7,45.0,review
5.0,60,No,7.0,0,45.0,excellent
5.0,47,No,7.0,9,34.0,review
,83,No,6.0,2,66.0,review
7.0,91,No,8.0,7,79.0,review
6.0,73,No,9.0,9,63.0,excellent
4.0,49,Yes,6.0,7,32.0,review
2.0,90,No,4.0,4,64.0,excellent
9.0,80,Yes,6.0,4,78.0,excellent
,96,Yes,6.0,7,69.0,review
4.0,63,Yes,9.0,9,46.0,review
1.0,79,No,7.0,4,54.0,excellent
6.0,63,No,8.0,8,51.0,excellent
,95,No,6.0,0,78.0,review
5.0,71,No,5.0,4,54.0,review
5.0,95,Yes,7.0,2,80.0,review
9.0,72,No,7.0,2,67.0,review
1.0,77,No,6.0,1,48.0,review
2.0,83,Yes,9.0,2,61.0,review
6.0,96,Yes,,6,83.0,excellent
5.0,95,Yes,6.0,7,82.0,excellent
7.0,90,Yes,5.0,7,78.0,excellent
3.0,98,Yes,7.0,7,78.0,excellent
3.0,88,Yes,5.0,0,70.0,excellent
2.0,73,Yes,6.0,6,48.0,excellent
3.0,50,No,4.0,1,26.0,review
1.0,70,No,4.0,9,46.0,review
5.0,57,Yes,5.0,3,42.0,excellent
5.0,62,Yes,9.0,4,46.0,excellent
,99,No,6.0,0,91.0,review
4.0,61,Yes,8.0,3,47.0,review
3.0,82,Yes,4.0,3,61.0,excellent
1.0,57,Yes,7.0,8,31.0,review
8.0,79,Yes,6.0,8,71.0,review
3.0,86,Yes,6.0,9,66.0,excellent
2.0,80,No,4.0,0,52.0,excellent
4.0,86,Yes,8.0,7,71.0,excellent
3.0,78,Yes,7.0,3,60.0,excellent
1.0,59,Yes,8.0,3,32.0,excellent
3.0,52,No,7.0,4,33.0,excellent
2.0,84,No,4.0,1,56.0,review
8.0,40,Yes,6.0,0,32.0,review
6.0,91,Yes,7.0,4,76.0,excellent
9.0,43,Yes,6.0,6,40.0,review
8.0,63,Yes,5.0,9,60.0,review
3.0,75,No,5.0,8,54.0,review
5.0,75,No,4.0,1,59.0,review
7.0,84,Yes,,7,74.0,review
5.0,41,Yes,9.0,6,29.0,excellent
8.0,67,No,4.0,1,61.0,review
,65,No,5.0,4,50.0,review
,62,Yes,7.0,6,36.0,excellent
5.0,54,Yes,8.0,2,41.0,excellent
4.0,75,Yes,4.0,1,60.0,review
6.0,66,No,8.0,5,56.0,excellent
3.0,45,No,8.0,9,23.0,excellent
5.0,74,No,5.0,5,63.0,excellent
2.0,78,No,9.0,3,54.0,review
6.0,77,Yes,7.0,0,64.0,excellent
6.0,74,No,5.0,4,64.0,excellent
,75,No,,0,58.0,excellent
6.0,49,No,5.0,7,38.0,review
,69,Yes,5.0,1,60.0,excellent
5.0,92,No,5.0,8,79.0,excellent
1.0,80,No,4.0,8,57.0,review
8.0,77,No,4.0,2,69.0,review
4.0,68,Yes,5.0,5,51.0,excellent
9.0,91,No,5.0,8,86.0,review
6.0,98,Yes,8.0,6,90.0,excellent
1.0,82,Yes,7.0,3,57.0,review
,78,No,8.0,2,61.0,review
3.0,89,Yes,9.0,1,71.0,excellent
4.0,43,No,7.0,9,30.0,review
6.0,44,Yes,9.0,9,34.0,excellent
7.0,43,Yes,7.0,0,34.0,excellent
4.0,75,No,5.0,9,58.0,excellent
6.0,98,No,8.0,0,85.0,excellent
1.0,84,Yes,7.0,3,55.0,excellent
8.0,55,Yes,9.0,3,51.0,review
7.0,64,Yes,7.0,8,53.0,excellent
9.0,53,Yes,4.0,9,51.0,review
3.0,50,No,7.0,0,31.0,review
2.0,68,Yes,5.0,3,44.0,excellent
1.0,73,Yes,6.0,2,48.0,excellent
3.0,61,No,4.0,8,41.0,review
5.0,53,Yes,6.0,4,40.0,review
2.0,95,No,5.0,8,72.0,excellent
3.0,63,No,6.0,9,41.0,review
4.0,98,No,7.0,5,78.0,excellent
7.0,78,Yes,6.0,8,70.0,excellent
,65,No,8.0,0,41.0,review
,82,No,5.0,3,78.0,review
8.0,75,No,8.0,3,70.0,excellent
4.0,78,Yes,6.0,9,61.0,review
1.0,55,Yes,8.0,9,33.0,review
1.0,97,Yes,4.0,5,71.0,review
1.0,77,Yes,6.0,9,51.0,review
1.0,98,No,9.0,0,72.0,review
8.0,71,No,8.0,9,69.0,excellent
3.0,45,No,7.0,4,21.0,excellent
6.0,73,Yes,6.0,2,61.0,excellent
3.0,95,No,9.0,0,76.0,excellent
5.0,47,Yes,4.0,5,30.0,review
7.0,69,Yes,7.0,2,59.0,review
2.0,66,Yes,6.0,3,45.0,excellent
6.0,46,No,7.0,8,39.0,excellent
6.0,66,No,6.0,1,53.0,excellent
3.0,64,Yes,6.0,0,43.0,excellent
6.0,95,No,5.0,9,85.0,excellent
5.0,85,Yes,8.0,5,70.0,review
2.0,80,No,6.0,0,56.0,excellent
9.0,54,Yes,4.0,0,52.0,excellent
8.0,64,Yes,9.0,6,65.0,excellent
3.0,61,Yes,8.0,1,39.0,excellent
8.0,57,No,5.0,3,48.0,excellent
9.0,51,No,8.0,3,47.0,excellent
,62,No,8.0,1,41.0,excellent
,90,No,6.0,5,72.0,excellent
2.0,84,No,4.0,9,61.0,excellent
8.0,78,Yes,6.0,1,74.0,excellent
1.0,64,No,4.0,7,38.0,review
8.0,49,Yes,4.0,3,42.0,excellent
7.0,69,No,7.0,0,60.0,excellent
7.0,49,No,6.0,6,35.0,excellent
3.0,73,No,5.0,5,52.0,review
1.0,85,Yes,9.0,5,61.0,excellent
4.0,52,No,8.0,2,32.0,review
9.0,93,Yes,7.0,9,95.0,excellent
5.0,68,No,5.0,6,53.0,review
1.0,77,Yes,9.0,5,54.0,excellent
5.0,80,Yes,9.0,9,70.0,review
8.0,84,Yes,6.0,9,78.0,review
,48,Yes,,8,42.0,excellent
5.0,52,No,6.0,2,33.0,review
9.0,76,No,9.0,2,75.0,excellent
,53,Yes,,3,26.0,excellent
4.0,76,No,7.0,2,58.0,excellent
3.0,48,Yes,5.0,3,29.0,review
,47,No,9.0,5,29.0,excellent
8.0,78,No,7.0,0,70.0,review
7.0,79,No,5.0,1,67.0,excellent
9.0,93,Yes,7.0,9,93.0,excellent
2.0,42,No,8.0,5,21.0,review
4.0,94,Yes,4.0,5,74.0,review
,95,No,4.0,0,82.0,review
3.0,86,Yes,4.0,5,65.0,excellent
8.0,79,No,8.0,8,75.0,review
3.0,72,Yes,9.0,7,55.0,excellent
2.0,71,Yes,9.0,9,54.0,excellent
3.0,46,Yes,8.0,4,26.0,excellent
6.0,58,No,4.0,3,48.0,excellent
2.0,73,Yes,4.0,5,49.0,review
8.0,53,No,5.0,4,49.0,excellent
1.0,89,Yes,5.0,5,64.0,excellent
7.0,86,Yes,6.0,9,81.0,excellent
2.0,85,Yes,7.0,2,64.0,review
6.0,95,No,5.0,6,82.0,review
2.0,96,No,5.0,7,74.0,review
2.0,58,No,5.0,4,32.0,review
8.0,90,No,5.0,4,83.0,review
2.0,93,No,8.0,3,68.0,review
7.0,98,No,6.0,9,90.0,excellent
3.0,65,No,5.0,4,44.0,review
8.0,56,Yes,9.0,9,51.0,excellent
7.0,93,Yes,7.0,7,86.0,review
,67,No,5.0,4,62.0,excellent
7.0,58,No,8.0,8,48.0,excellent
6.0,66,No,9.0,0,56.0,excellent
7.0,87,No,4.0,6,79.0,excellent
5.0,91,No,4.0,4,74.0,review
7.0,96,Yes,6.0,3,82.0,excellent
1.0,58,No,4.0,2,32.0,review
,72,No,5.0,9,46.0,review
9.0,90,No,8.0,6,88.0,review
5.0,46,Yes,6.0,1,35.0,excellent
5.0,68,Yes,,4,56.0,review
3.0,94,Yes,5.0,1,74.0,excellent
5.0,82,Yes,4.0,6,67.0,review
3.0,44,No,7.0,5,23.0,excellent
9.0,69,Yes,5.0,9,67.0,excellent
9.0,88,Yes,7.0,6,86.0,review
6.0,82,Yes,9.0,8,70.0,review
1.0,95,Yes,7.0,1,68.0,excellent
7.0,97,Yes,9.0,8,91.0,review
7.0,47,No,6.0,6,42.0,excellent
4.0,81,Yes,8.0,1,62.0,excellent
8.0,51,Yes,4.0,9,44.0,review
6.0,81,Yes,4.0,1,67.0,review
4.0,52,No,5.0,3,35.0,review
4.0,65,No,4.0,1,46.0,review
2.0,57,No,6.0,0,31.0,review
2.0,81,No,4.0,5,59.0,review
4.0,90,No,5.0,9,71.0,review
5.0,91,No,,4,74.0,review
8.0,88,No,,2,80.0,excellent
6.0,59,No,9.0,0,49.0,excellent
4.0,55,Yes,7.0,8,39.0,excellent
7.0,76,Yes,7.0,7,67.0,review
8.0,42,No,9.0,5,38.0,review
2.0,66,Yes,7.0,5,47.0,excellent
7.0,54,No,8.0,3,41.0,excellent
2.0,97,Yes,6.0,1,75.0,review
2.0,73,Yes,5.0,3,53.0,review
8.0,84,No,8.0,1,81.0,excellent
2.0,61,Yes,5.0,6,37.0,excellent
9.0,79,No,6.0,8,77.0,review
1.0,62,No,8.0,1,36.0,excellent
9.0,98,Yes,4.0,8,95.0,excellent
,88,No,6.0,8,65.0,excellent
2.0,43,Yes,7.0,7,18.0,excellent
,90,Yes,,0,80.0,review
6.0,93,No,6.0,4,81.0,excellent
1.0,96,No,6.0,9,73.0,excellent
7.0,80,No,8.0,3,74.0,excellent
8.0,62,No,7.0,6,57.0,excellent
2.0,86,No,9.0,7,64.0,excellent
8.0,99,Yes,7.0,9,97.0,review
9.0,48,No,6.0,7,42.0,review
6.0,63,Yes,5.0,1,48.0,excellent
,60,No,9.0,2,46.0,review
9.0,80,Yes,,9,79.0,review
9.0,85,Yes,6.0,9,83.0,review
1.0,94,Yes,,6,70.0,excellent
3.0,92,Yes,8.0,3,73.0,review
9.0,55,Yes,8.0,5,56.0,excellent
2.0,95,No,7.0,7,71.0,review
4.0,94,Yes,4.0,7,76.0,review
4.0,64,No,8.0,6,49.0,review
2.0,65,Yes,8.0,1,43.0,review
3.0,88,No,9.0,1,67.0,excellent
3.0,84,Yes,5.0,2,63.0,excellent
1.0,48,Yes,5.0,3,18.0,excellent
6.0,54,No,,0,43.0,review
8.0,78,No,6.0,4,72.0,excellent
3.0,72,Yes,,6,57.0,review
5.0,40,Yes,8.0,9,25.0,review
1.0,44,No,5.0,4,15.0,excellent
7.0,95,Yes,,6,88.0,excellent
1.0,48,Yes,5.0,4,24.0,review
9.0,83,No,8.0,9,81.0,review
,45,Yes,9.0,7,40.0,excellent
7.0,67,Yes,8.0,6,60.0,review
,84,No,6.0,0,73.0,excellent
5.0,65,Yes,8.0,0,52.0,excellent
5.0,67,No,8.0,4,53.0,excellent
5.0,79,No,5.0,1,65.0,review
1.0,54,Yes,4.0,8,30.0,excellent
8.0,45,Yes,7.0,1,39.0,review
1.0,66,No,6.0,8,43.0,review
4.0,77,No,4.0,9,59.0,excellent
9.0,43,Yes,9.0,1,38.0,review
,50,No,6.0,3,44.0,review
5.0,60,Yes,4.0,2,44.0,excellent
4.0,69,No,8.0,5,53.0,excellent
3.0,57,No,6.0,3,37.0,review
3.0,74,No,4.0,8,52.0,review
5.0,42,Yes,7.0,8,30.0,review
,51,No,8.0,9,22.0,review
5.0,66,No,,8,51.0,excellent
6.0,92,No,,2,82.0,excellent
7.0,69,No,9.0,2,63.0,excellent
9.0,60,Yes,6.0,3,58.0,review
3.0,77,No,4.0,8,58.0,review
2.0,60,Yes,6.0,5,38.0,review
3.0,99,No,8.0,8,80.0,review
9.0,77,No,5.0,7,70.0,review
7.0,79,Yes,9.0,6,72.0,review
9.0,54,Yes,,4,48.0,review
2.0,57,No,7.0,8,36.0,excellent
5.0,91,No,6.0,3,73.0,excellent
4.0,68,No,8.0,3,51.0,excellent
,87,Yes,6.0,7,63.0,review
9.0,77,No,7.0,3,74.0,excellent
9.0,99,Yes,8.0,6,98.0,excellent
6.0,60,No,7.0,3,45.0,review
6.0,56,Yes,8.0,0,45.0,excellent
8.0,80,Yes,5.0,9,74.0,excellent
6.0,90,Yes,9.0,8,81.0,excellent
1.0,57,No,8.0,3,30.0,review
4.0,96,No,7.0,2,77.0,review
7.0,94,Yes,4.0,2,86.0,excellent
2.0,76,Yes,9.0,8,58.0,review
9.0,99,Yes,5.0,7,99.0,excellent
8.0,77,No,6.0,9,69.0,excellent
8.0,51,No,5.0,6,47.0,review
7.0,50,No,5.0,6,42.0,excellent
4.0,87,Yes,6.0,3,73.0,excellent
2.0,91,No,,2,71.0,review
3.0,88,No,5.0,3,68.0,review
6.0,59,No,9.0,5,47.0,excellent
,48,Yes,,3,31.0,excellent
,40,No,4.0,3,31.0,review
6.0,97,No,9.0,1,86.0,review
6.0,42,No,4.0,6,27.0,excellent
,60,No,9.0,5,32.0,excellent
4.0,62,No,7.0,1,41.0,review
5.0,48,Yes,6.0,4,33.0,excellent
3.0,93,Yes,9.0,5,75.0,review
9.0,58,Yes,9.0,4,57.0,review
,84,Yes,8.0,3,59.0,excellent
6.0,94,No,8.0,8,87.0,review
6.0,85,No,7.0,2,72.0,excellent
5.0,91,Yes,8.0,1,78.0,review
5.0,58,Yes,8.0,8,46.0,excellent
5.0,62,Yes,4.0,7,47.0,review
6.0,66,No,8.0,8,58.0,review
8.0,66,No,8.0,9,63.0,excellent
2.0,78,No,7.0,2,56.0,review
6.0,75,Yes,7.0,0,62.0,excellent
1.0,51,Yes,5.0,0,23.0,excellent
4.0,94,Yes,8.0,2,73.0,excellent
3.0,66,No,8.0,3,46.0,excellent
9.0,85,No,9.0,1,80.0,excellent
3.0,73,Yes,8.0,7,59.0,excellent
6.0,72,Yes,4.0,2,60.0,excellent
1.0,67,No,9.0,3,41.0,excellent
6.0,70,No,8.0,5,61.0,review
4.0,71,Yes,4.0,9,51.0,excellent
8.0,89,Yes,,5,82.0,review
9.0,59,No,9.0,1,55.0,review
,79,Yes,6.0,5,64.0,review
6.0,74,Yes,8.0,3,61.0,excellent
1.0,70,No,9.0,4,44.0,excellent
4.0,97,Yes,7.0,6,81.0,excellent
7.0,70,No,9.0,6,64.0,review
1.0,77,Yes,7.0,5,53.0,review
8.0,61,No,8.0,9,55.0,excellent
6.0,84,Yes,4.0,5,72.0,review
5.0,80,Yes,7.0,5,65.0,review
9.0,48,Yes,9.0,3,44.0,review
2.0,91,No,9.0,2,70.0,excellent
,48,Yes,7.0,0,34.0,review
6.0,54,Yes,5.0,2,41.0,review
,52,No,5.0,2,43.0,excellent
5.0,61,Yes,5.0,8,48.0,review
9.0,55,No,7.0,2,46.0,excellent
1.0,71,No,7.0,7,47.0,review
7.0,41,No,9.0,7,37.0,review
7.0,65,Yes,8.0,2,56.0,excellent
4.0,53,No,8.0,9,40.0,excellent
,98,Yes,4.0,9,96.0,excellent
5.0,77,No,7.0,5,63.0,excellent
4.0,73,Yes,8.0,7,58.0,review
7.0,47,No,8.0,7,36.0,review
4.0,75,No,5.0,9,61.0,review
3.0,60,Yes,5.0,9,39.0,excellent
,95,No,5.0,8,90.0,excellent
8.0,85,Yes,6.0,8,79.0,excellent
1.0,82,No,8.0,7,58.0,review
7.0,95,Yes,5.0,6,89.0,excellent
,67,No,5.0,9,64.0,excellent
8.0,85,No,7.0,2,78.0,excellent
8.0,83,Yes,9.0,6,79.0,excellent
6.0,87,No,5.0,3,72.0,excellent
4.0,45,Yes,,1,26.0,review
,59,Yes,4.0,7,52.0,review
